params,accuracy
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8658536585365854
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8617886178861789
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8536585365853658
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8536585365853658
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 16, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (16, 16), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 16), 'batch_size': 32, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8495934959349594
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 32, 'patience': 10}",0.8495934959349594
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (64, 32), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (32, 32), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (16, 16), 'batch_size': 32, 'patience': 10}",0.8455284552845529
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 64, 'patience': 10}",0.8455284552845529
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8455284552845529
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8414634146341463
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (64, 64), 'batch_size': 16, 'patience': 10}",0.8414634146341463
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 64, 'patience': 10}",0.8414634146341463
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (64, 64), 'batch_size': 32, 'patience': 10}",0.8414634146341463
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (64, 64), 'batch_size': 64, 'patience': 10}",0.8414634146341463
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 64, 'patience': 10}",0.8414634146341463
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8414634146341463
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 32, 'patience': 10}",0.8414634146341463
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8414634146341463
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (64, 64), 'batch_size': 32, 'patience': 10}",0.8414634146341463
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 32), 'batch_size': 32, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (128, 64), 'batch_size': 64, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 64, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (32, 32), 'batch_size': 16, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 16, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (16, 16), 'batch_size': 16, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8373983739837398
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (128, 64), 'batch_size': 16, 'patience': 10}",0.8373983739837398
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 32, 'patience': 10}",0.8373983739837398
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8373983739837398
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (128, 64), 'batch_size': 64, 'patience': 10}",0.8373983739837398
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8373983739837398
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 32, 'patience': 10}",0.8373983739837398
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (32, 16), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (16, 16), 'batch_size': 16, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (128, 64), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (64, 64), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (64, 64), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (128, 64), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (32, 16), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (16, 16), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 32), 'batch_size': 16, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (16, 16), 'batch_size': 32, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (16, 16), 'batch_size': 16, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 16), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (64, 64), 'batch_size': 64, 'patience': 10}",0.8333333333333334
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 16, 'patience': 10}",0.8333333333333334
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (32, 32), 'batch_size': 32, 'patience': 10}",0.8292682926829268
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8292682926829268
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8292682926829268
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (32, 16), 'batch_size': 32, 'patience': 10}",0.8292682926829268
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 32, 'patience': 10}",0.8292682926829268
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (128, 64), 'batch_size': 64, 'patience': 10}",0.8292682926829268
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (32, 16), 'batch_size': 64, 'patience': 10}",0.8292682926829268
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (32, 16), 'batch_size': 16, 'patience': 10}",0.8292682926829268
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8292682926829268
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (16, 16), 'batch_size': 16, 'patience': 10}",0.8292682926829268
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 64, 'patience': 10}",0.8292682926829268
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (16, 16), 'batch_size': 64, 'patience': 10}",0.8252032520325203
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (64, 32), 'batch_size': 32, 'patience': 10}",0.8252032520325203
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 32, 'patience': 10}",0.8252032520325203
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (32, 32), 'batch_size': 32, 'patience': 10}",0.8252032520325203
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 32, 'patience': 10}",0.8252032520325203
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (64, 64), 'batch_size': 16, 'patience': 10}",0.8252032520325203
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 16, 'patience': 10}",0.8252032520325203
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (32, 16), 'batch_size': 32, 'patience': 10}",0.8211382113821138
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (32, 16), 'batch_size': 64, 'patience': 10}",0.8211382113821138
"{'alpha': 0.01, 'l2_lambda': 0.3, 'hidden_sizes': (16, 16), 'batch_size': 32, 'patience': 10}",0.8211382113821138
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (64, 64), 'batch_size': 16, 'patience': 10}",0.8211382113821138
"{'alpha': 0.005, 'l2_lambda': 0.25, 'hidden_sizes': (64, 64), 'batch_size': 16, 'patience': 10}",0.8211382113821138
"{'alpha': 0.005, 'l2_lambda': 0.35, 'hidden_sizes': (16, 16), 'batch_size': 64, 'patience': 10}",0.8211382113821138
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (16, 16), 'batch_size': 32, 'patience': 10}",0.8170731707317073
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (64, 64), 'batch_size': 32, 'patience': 10}",0.8170731707317073
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (64, 64), 'batch_size': 64, 'patience': 10}",0.8170731707317073
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (32, 32), 'batch_size': 64, 'patience': 10}",0.8130081300813008
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (64, 32), 'batch_size': 64, 'patience': 10}",0.8048780487804879
"{'alpha': 0.01, 'l2_lambda': 0.25, 'hidden_sizes': (16, 16), 'batch_size': 64, 'patience': 10}",0.8048780487804879
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (64, 32), 'batch_size': 16, 'patience': 10}",0.8048780487804879
"{'alpha': 0.005, 'l2_lambda': 0.3, 'hidden_sizes': (64, 64), 'batch_size': 16, 'patience': 10}",0.8048780487804879
"{'alpha': 0.01, 'l2_lambda': 0.35, 'hidden_sizes': (32, 16), 'batch_size': 64, 'patience': 10}",0.7967479674796748
